layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.15693013945763762,0.05352705114864027,0.21045719060627788,0.10340308830899735,0.27359927006065843,0.06673261867108575,0.3403318887317442,0.20686665138957266
1,0.03149295230577519,0.005721498315277792,0.03721445062105298,0.025771453990497396,0.026254144279907146,0.004975520544050607,0.031229664823957753,0.02127862373585654
2,0.03256995033763059,0.004700200029533328,0.03727015036716392,0.02786975030809726,0.0360484052884082,0.008732854897206486,0.04478126018561469,0.02731555039120171
3,0.044152074795845264,0.006613685264366333,0.0507657600602116,0.03753838953147893,0.047483528119822344,0.009597505357769492,0.05708103347759184,0.03788602276205285
4,0.06038451313295148,0.008859332251287108,0.06924384538423858,0.05152518088166437,0.07745008391638597,0.011774866371604905,0.08922495028799088,0.06567521754478106
5,0.0772492236566621,0.017818247714044555,0.09506747137070666,0.05943097594261755,0.1077124002824227,0.02008281469750412,0.12779521497992682,0.08762958558491857
6,0.0986877977364249,0.019376772591733232,0.11806457032815813,0.07931102514469167,0.1280250529696544,0.020939745708174726,0.14896479867782914,0.10708530726147969
7,0.11469552414370822,0.030407969494488242,0.14510349363819647,0.08428755464921997,0.17141876995563507,0.038331595087377095,0.20975036504301217,0.13308717486825797
8,0.10407521938542266,0.025327510952877514,0.1294027303383002,0.07874770843254515,0.14930118985474108,0.030273534671714116,0.1795747245264552,0.11902765518302696
9,0.12574038262684623,0.029035068879177287,0.1547754515060235,0.09670531374766894,0.18133797630667686,0.043538779433309936,0.2248767557399868,0.13779919687336692
10,0.06500496294397812,0.018804082591093965,0.08380904553507208,0.04620088035288415,0.10326814066618681,0.027436844154451592,0.13070498482063841,0.07583129651173522
11,0.05230662323437728,0.0228861536803495,0.07519277691472678,0.02942046955402778,0.0974266212557753,0.02963806451324671,0.127064685769022,0.06778855674252858
12,0.06575938539168277,0.025956408221739627,0.0917157936134224,0.039802977169943146,0.10882928498089313,0.03207633549727933,0.14090562047817246,0.0767529494836138
13,0.05639352874419132,0.032538455175500955,0.08893198391969227,0.023855073568690363,0.10434783305972814,0.03412589358593974,0.13847372664566787,0.07022193947378841
14,0.06977269227628584,0.041815658038523565,0.1115883503148094,0.027957034237762274,0.14833467344443002,0.05026827454832894,0.19860294799275896,0.09806639889610108
15,0.3304898338271426,0.045058459548346266,0.37554829337548884,0.28543137427879633,0.4305171154936155,0.060824014786697696,0.4913411302803132,0.3696931007069178
