layer,valid_mean,valid_std,valid_ci_upper,valid_ci_lower,invalid_mean,invalid_std,invalid_ci_upper,invalid_ci_lower
0,0.7216265889016589,0.016459685798279743,0.7380862746999386,0.7051669031033792,0.7286071482042259,0.01974262464568191,0.7483497728499078,0.708864523558544
1,0.5852103330488388,0.012217928394529008,0.5974282614433678,0.5729924046543099,0.5837490517024105,0.020915667370720814,0.6046647190731314,0.5628333843316897
2,0.7663914596401399,0.012961764312033375,0.7793532239521732,0.7534296953281066,0.7815130905324498,0.00890825238332483,0.7904213429157746,0.772604838149125
3,0.9509167202859667,0.008554377326894158,0.9594710976128609,0.9423623429590726,0.961840791264924,0.005644517475921321,0.9674853087408454,0.9561962737890027
4,0.9388586729718748,0.009250520963920412,0.9481091939357952,0.9296081520079543,0.9514720409787408,0.007721158572059089,0.9591931995508,0.9437508824066817
5,0.9418127094736641,0.006562699252618451,0.9483754087262826,0.9352500102210457,0.9365280343358986,0.008956755467008231,0.9454847898029068,0.9275712788688903
6,0.9478883213070196,0.012543689538383012,0.9604320108454026,0.9353446317686366,0.9656045402489096,0.010289235426260153,0.9758937756751698,0.9553153048226495
7,0.9358570266127197,0.008249925247964899,0.9441069518606846,0.9276071013647549,0.9234610642266861,0.01109427610088939,0.9345553403275755,0.9123667881257966
8,0.9236228178893041,0.01617674762910206,0.9397995655184062,0.9074460702602021,0.9480685324126792,0.01202403478037925,0.9600925671930585,0.9360444976322999
9,0.9683509869451109,0.01614645673747973,0.9844974436825906,0.9522045302076312,0.9968727118886981,0.016241417478453136,1.0131141293671513,0.980631294410245
10,0.9505659244057503,0.017371843171683502,0.9679377675774338,0.9331940812340668,0.9825537791929972,0.017469492659278097,1.0000232718522752,0.9650842865337191
11,0.9896477599767339,0.02240570377469998,1.012053463751434,0.967242056202034,1.0318029898952967,0.024983275000573457,1.0567862648958701,1.0068197148947233
12,0.9437135822440129,0.015230547870078345,0.9589441301140913,0.9284830343739345,0.9695871257331792,0.01352949265426871,0.9831166183874479,0.9560576330789105
13,0.9694988832832282,0.015235422447929097,0.9847343057311573,0.9542634608352991,0.9952513952841849,0.015392902914673486,1.0106442981988584,0.9798584923695115
14,0.9316584137360139,0.0161876094317091,0.9478460231677229,0.9154708043043048,0.9598488343116185,0.015384042969420334,0.9752328772810388,0.9444647913421982
15,0.9392179228053976,0.010442340296494806,0.9496602631018924,0.9287755825089028,0.9565738531598527,0.011254577175833648,0.9678284303356863,0.945319275984019
16,0.970172095551601,0.008541877078564984,0.978713972630166,0.961630218473036,0.984337120114152,0.014144523413116766,0.9984816435272688,0.9701925967010352
17,0.9384585796884725,0.008342844308339308,0.9468014239968118,0.9301157353801331,0.9355448267253063,0.01395144726089637,0.9494962739862026,0.9215933794644099
18,0.9436436203299834,0.010604643457051617,0.954248263787035,0.9330389768729318,0.9338287093752433,0.018538311074684663,0.9523670204499279,0.9152903983005587
19,0.9123703465466043,0.017646878886884976,0.9300172254334893,0.8947234676597193,0.8842673360614901,0.020852196898827453,0.9051195329603176,0.8634151391626627
20,0.8667433418112274,0.032240691120404626,0.898984032931632,0.8345026506908227,0.8091455480070455,0.03424189216097999,0.8433874401680255,0.7749036558460656
21,0.5196957302441133,0.023911493577024625,0.5436072238211379,0.4957842366670887,0.49073806171066375,0.02227818611472614,0.5130162478253899,0.4684598755959376
22,0.2743750977068667,0.009654902915616001,0.2840300006224827,0.2647201947912507,0.2865820286000322,0.015056478096629746,0.3016385066966619,0.27152555050340244
23,0.3564494007259209,0.012301327674890106,0.368750728400811,0.3441480730510308,0.3549290944108119,0.019753278559531868,0.37468237297034374,0.33517581585128003
